ID,Name,RA1,RA2,RA3,Delta19,Delta2,Delta3,l,b,R_Sun,R_gc,X,Y,Z
Pal 4,,11,29,16.8,28,58,24.9,202.31,71.8,108.7,111.2,-31.4,-12.9,103.2
Ko 1,,11,59,18.5,12,15,36,260.99,70.75,48.3,49.3,-2.5,-15.7,45.6
NGC 4147,,12,10,6.3,18,32,33.5,252.85,77.19,19.3,21.4,-1.3,-4.1,18.8
NGC 4372,,12,25,45.4,-72,39,32.4,300.99,-9.88,5.8,7.1,2.9,-4.9,-1
Rup 106,,12,38,40.2,-51,9,1,300.88,11.67,21.2,18.5,10.7,-17.8,4.3
NGC 4590,M 68,12,39,27.98,-26,44,38.6,299.63,36.05,10.3,10.2,4.1,-7.2,6
NGC 4833,,12,59,33.92,-70,52,35.4,303.6,-8.02,6.6,7,3.6,-5.4,-0.9
NGC 5024,M 53,13,12,55.25,18,10,5.4,332.96,79.76,17.9,18.4,2.8,-1.4,17.6
NGC 5053,,13,16,27.09,17,42,0.9,335.7,78.95,17.4,17.8,3,-1.4,17.1
NGC 5139,omega Cen,13,26,47.24,-47,28,46.5,309.1,14.97,5.2,6.4,3.1,-3.9,1.3
NGC 5272,M 3,13,42,11.62,28,22,38.2,42.22,78.71,10.2,12,1.5,1.3,10
NGC 5286,,13,46,26.81,-51,22,27.3,311.61,10.57,11.7,8.9,7.6,-8.6,2.1
AM 4,,13,56,21.7,-27,10,3,320.28,33.51,32.2,27.8,20.7,-17.2,17.8
NGC 5466,,14,5,27.29,28,32,4,42.15,73.59,16,16.3,3.3,3,15.3
NGC 5634,,14,29,37.23,-5,58,35.1,342.21,49.26,25.2,21.2,15.7,-5,19.1
NGC 5694,,14,39,36.29,-26,32,20.2,331.06,30.36,35,29.4,26.4,-14.6,17.7
IC 4499,,15,0,18.45,-82,12,49.3,307.35,-20.47,18.8,15.7,10.7,-14,-6.6
NGC 5824,,15,3,58.63,-33,4,5.6,332.56,22.07,32.1,25.9,26.4,-13.7,12.1
Pal 5,,15,16,5.25,0,6,41.8,0.85,45.86,23.2,18.6,16.2,0.2,16.7
NGC 5897,,15,17,24.5,-21,0,37,342.95,30.29,12.5,7.4,10.3,-3.2,6.3
NGC 5904,M 5,15,18,33.22,2,4,51.7,3.86,46.8,7.5,6.2,5.1,0.3,5.5
NGC 5927,,15,28,0.69,-50,40,22.9,326.6,4.86,7.7,4.6,6.4,-4.2,0.7
NGC 5946,,15,35,28.52,-50,39,34.8,327.58,4.19,10.6,5.8,8.9,-5.6,0.8
BH 176,,15,39,7.45,-50,3,9.8,328.41,4.34,18.9,12.9,16.1,-9.9,1.4
NGC 5986,,15,46,3,-37,47,11.1,337.02,13.27,10.4,4.8,9.3,-4,2.4
Lynga 7,BH184,16,11,3.65,-55,19,4,328.77,-2.8,8,4.3,6.8,-4.1,-0.4
Pal 14,AvdB,16,11,0.6,14,57,28,28.74,42.19,76.5,71.6,49.7,27.3,51.4
NGC 6093,M 80,16,17,2.41,-22,58,33.9,352.67,19.46,10,3.8,9.4,-1.2,3.3
NGC 6121,M 4,16,23,35.22,-26,31,32.7,350.97,15.97,2.2,5.9,2.1,-0.3,0.6
NGC 6101,,16,25,48.12,-72,12,7.9,317.74,-15.82,15.4,11.2,11,-10,-4.2
NGC 6144,,16,27,13.86,-26,1,24.6,351.93,15.7,8.9,2.7,8.5,-1.2,2.4
NGC 6139,,16,27,40.37,-38,50,55.5,342.37,6.94,10.1,3.6,9.6,-3,1.2
Terzan 3,,16,28,40.08,-35,21,12.5,345.08,9.19,8.2,2.5,7.8,-2.1,1.3
NGC 6171,M 107,16,32,31.86,-13,3,13.6,3.37,23.01,6.4,3.3,5.9,0.3,2.5
1636-283,ESO452-SC11,16,39,25.45,-28,23,55.3,351.91,12.1,8.3,2.1,8,-1.1,1.7
NGC 6205,M 13,16,41,41.24,36,27,35.5,59.01,40.91,7.1,8.4,2.8,4.6,4.7
NGC 6229,,16,46,58.79,47,31,39.9,73.64,40.31,30.5,29.8,6.5,22.3,19.7
NGC 6218,M 12,16,47,14.18,-1,56,54.7,15.72,26.31,4.8,4.5,4.2,1.2,2.1
FSR 1735,,16,52,10.6,-47,3,29,339.19,-1.85,9.8,3.7,9.1,-3.5,-0.3
NGC 6235,,16,53,25.31,-22,10,38.8,358.92,13.52,11.5,4.2,11.2,-0.2,2.7
NGC 6254,M 10,16,57,9.05,-4,6,1.1,15.14,23.08,4.4,4.6,3.9,1.1,1.7
NGC 6256,,16,59,32.62,-37,7,17,347.79,3.31,10.3,3,10,-2.2,0.6
Pal 15,,16,59,51,0,32,20,18.88,24.3,45.1,38.4,38.9,13.3,18.6
NGC 6266,M 62,17,1,12.8,-30,6,49.4,353.57,7.32,6.8,1.7,6.7,-0.8,0.9
NGC 6273,M 19,17,2,37.8,-26,16,4.7,356.87,9.38,8.8,1.7,8.7,-0.5,1.4
NGC 6284,,17,4,28.51,-24,45,53.5,358.35,9.94,15.3,7.5,15,-0.4,2.6
NGC 6287,,17,5,9.13,-22,42,30.1,0.13,11.02,9.4,2.1,9.2,0,1.8
NGC 6293,,17,10,10.2,-26,34,55.5,357.62,7.83,9.5,1.9,9.4,-0.4,1.3
NGC 6304,,17,14,32.25,-29,27,43.3,355.83,5.38,5.9,2.3,5.8,-0.4,0.6
NGC 6316,,17,16,37.3,-28,8,24.4,357.18,5.76,10.4,2.6,10.4,-0.5,1
NGC 6341,M 92,17,17,7.39,43,8,9.4,68.34,34.86,8.3,9.6,2.5,6.3,4.7
NGC 6325,,17,17,59.21,-23,45,57.6,0.97,8,7.8,1.1,7.7,0.1,1.1
NGC 6333,M 9,17,19,11.26,-18,30,57.4,5.54,10.71,7.9,1.7,7.7,0.7,1.5
NGC 6342,,17,21,10.08,-19,35,14.7,4.9,9.72,8.5,1.7,8.4,0.7,1.4
NGC 6356,,17,23,34.93,-17,48,46.9,6.72,10.22,15.1,7.5,14.7,1.7,2.7
NGC 6355,,17,23,58.59,-26,21,12.3,359.59,5.43,9.2,1.4,9.2,-0.1,0.9
NGC 6352,,17,25,29.11,-48,25,19.8,341.42,-7.17,5.6,3.3,5.3,-1.8,-0.7
IC 1257,,17,27,8.5,-7,5,35,16.54,15.15,25,17.9,23.2,6.9,6.5
Terzan 2,HP 3,17,27,33.1,-30,48,8.4,356.32,2.3,7.5,0.8,7.5,-0.5,0.3
NGC 6366,,17,27,44.24,-5,4,47.5,18.41,16.04,3.5,5,3.2,1.1,1
Terzan 4,HP 4,17,30,39,-31,35,43.9,356.02,1.31,7.2,1,7.2,-0.5,0.2
HP 1,BH 229,17,31,5.2,-29,58,54,357.44,2.12,8.2,0.5,8.2,-0.4,0.3
NGC 6362,,17,31,54.99,-67,2,54,325.55,-17.57,7.6,5.1,6,-4.1,-2.3
Liller 1,,17,33,24.5,-33,23,20.4,354.84,-0.16,8.2,0.8,8.2,-0.7,0
NGC 6380,Ton 1,17,34,28,-39,4,9,350.18,-3.42,10.9,3.3,10.7,-1.9,-0.6
Terzan 1,HP 2,17,35,47.8,-30,28,11,357.57,1,6.7,1.3,6.7,-0.3,0.1
Ton 2,Pismis 26,17,36,10.5,-38,33,12,350.8,-3.42,8.2,1.4,8.1,-1.3,-0.5
NGC 6388,,17,36,17.23,-44,44,7.8,345.56,-6.74,9.9,3.1,9.6,-2.5,-1.2
NGC 6402,M 14,17,37,36.1,-3,14,45.3,21.32,14.81,9.3,4,8.3,3.3,2.4
NGC 6401,,17,38,36.6,-23,54,34.2,3.45,3.98,10.6,2.7,10.5,0.6,0.7
NGC 6397,,17,40,42.09,-53,40,27.6,338.17,-11.96,2.3,6,2.1,-0.8,-0.5
Pal 6,,17,43,42.2,-26,13,21,2.1,1.78,5.8,2.2,5.8,0.2,0.2
NGC 6426,,17,44,54.65,3,10,12.5,28.09,16.23,20.6,14.4,17.4,9.3,5.8
Djorg 1,,17,47,28.3,-33,3,56,356.69,-2.47,13.7,5.7,13.6,-0.8,-0.6
Terzan 5,Terzan 11,17,48,4.8,-24,46,45,3.84,1.69,6.9,1.2,6.9,0.5,0.2
NGC 6440,,17,48,52.7,-20,21,36.9,7.73,3.8,8.5,1.3,8.4,1.1,0.6
NGC 6441,,17,50,13.06,-37,3,5.2,353.53,-5.01,11.6,3.9,11.5,-1.3,-1
Terzan 6,HP 5,17,50,46.38,-31,16,31.4,358.57,-2.16,6.8,1.3,6.8,-0.2,-0.3
NGC 6453,,17,50,51.7,-34,35,57,355.72,-3.87,11.6,3.7,11.5,-0.9,-0.8
UKS 1,,17,54,27.2,-24,8,43,5.13,0.76,7.8,0.7,7.8,0.7,0.1
NGC 6496,,17,59,3.68,-44,15,57.4,348.03,-10.01,11.3,4.2,10.9,-2.3,-2
Terzan 9,,18,1,38.8,-26,50,23,3.61,-1.99,7.1,1.1,7.1,0.4,-0.2
Djorg 2,ESO456-SC38,18,1,49.1,-27,49,33,2.77,-2.5,6.3,1.8,6.2,0.3,-0.3
NGC 6517,,18,1,50.52,-8,57,31.6,19.23,6.76,10.6,4.2,10,3.5,1.3
Terzan 10,,18,3,36.4,-26,4,21,4.49,-1.99,5.8,2.3,5.8,0.5,-0.2
NGC 6522,,18,3,34.02,-30,2,2.3,1.02,-3.93,7.7,0.6,7.7,0.1,-0.5
NGC 6535,,18,3,50.51,0,17,51.5,27.18,10.44,6.8,3.9,6,3.1,1.2
NGC 6528,,18,4,49.64,-30,3,22.6,1.14,-4.17,7.9,0.6,7.9,0.2,-0.6
NGC 6539,,18,4,49.68,-7,35,9.1,20.8,6.78,7.8,3,7.2,2.8,0.9
NGC 6540,Djorg 3,18,6,8.6,-27,45,55,3.29,-3.31,5.3,2.8,5.2,0.3,-0.3
NGC 6544,,18,7,20.58,-24,59,50.4,5.84,-2.2,3,5.1,2.9,0.3,-0.1
NGC 6541,,18,8,2.36,-43,42,53.6,349.29,-11.19,7.5,2.1,7.3,-1.4,-1.5
2MS-GC01,2MASS-GC01,18,8,21.81,-19,49,47,10.48,0.11,3.6,4.5,3.5,0.7,0
ESO-SC06,ESO280-SC06,18,9,6,-46,25,23,346.9,-12.57,21.4,14,20.4,-4.7,-4.7
NGC 6553,,18,9,17.6,-25,54,31.3,5.26,-3.03,6,2.2,5.9,0.5,-0.3
2MS-GC02,2MASS-GC02,18,9,36.5,-20,46,44,9.79,-0.61,4.9,3.2,4.9,0.8,-0.1
NGC 6558,,18,10,17.6,-31,45,50,0.2,-6.02,7.4,1,7.3,0,-0.8
IC 1276,Pal 7,18,10,44.2,-7,12,27.4,21.83,5.67,5.4,3.7,5,2,0.5
Terzan 12,,18,12,15.8,-22,44,31,8.37,-2.1,4.8,3.4,4.7,0.7,-0.2
NGC 6569,,18,13,38.8,-31,49,36.8,0.48,-6.68,10.9,3.1,10.8,0.1,-1.3
BH 261,AL 3,18,14,6.6,-28,38,6,3.36,-5.27,6.5,1.7,6.5,0.4,-0.6
GLIMPSE02,,18,18,30.5,-16,58,38,14.14,-0.64,5.5,3,5.4,1.4,-0.1
NGC 6584,,18,18,37.6,-52,12,56.8,342.14,-16.41,13.5,7,12.3,-4,-3.8
NGC 6624,,18,23,40.51,-30,21,39.7,2.79,-7.91,7.9,1.2,7.8,0.4,-1.1
NGC 6626,M 28,18,24,32.81,-24,52,11.2,7.8,-5.58,5.5,2.7,5.4,0.7,-0.5
NGC 6638,,18,30,56.1,-25,29,50.9,7.9,-7.15,9.4,2.2,9.3,1.3,-1.2
NGC 6637,M 69,18,31,23.1,-32,20,53.1,1.72,-10.27,8.8,1.7,8.6,0.3,-1.6
NGC 6642,,18,31,54.1,-23,28,30.7,9.81,-6.44,8.1,1.7,8,1.4,-0.9
NGC 6652,,18,35,45.63,-32,59,26.6,1.53,-11.38,10,2.7,9.8,0.3,-2
NGC 6656,M 22,18,36,23.94,-23,54,17.1,9.89,-7.55,3.2,4.9,3.2,0.6,-0.4
Pal 8,,18,41,29.9,-19,49,33,14.11,-6.79,12.8,5.5,12.3,3.1,-1.5
NGC 6681,M 70,18,43,12.76,-32,17,31.6,2.85,-12.51,9,2.2,8.8,0.4,-2
GLIMPSE01,,18,48,49.7,-1,29,50,31.31,-0.1,4.2,4.9,3.6,2.2,0
NGC 6712,,18,53,4.3,-8,42,22,25.35,-4.32,6.9,3.5,6.3,3,-0.5
NGC 6715,M 54,18,55,3.33,-30,28,47.5,5.61,-14.09,26.5,18.9,25.6,2.5,-6.5
NGC 6717,Pal 9,18,55,6.04,-22,42,5.3,12.88,-10.9,7.1,2.4,6.8,1.6,-1.3
NGC 6723,,18,59,33.15,-36,37,56.1,0.07,-17.3,8.7,2.6,8.3,0,-2.6
NGC 6749,,19,5,15.3,1,54,3,36.2,-2.21,7.9,5,6.4,4.7,-0.3
NGC 6752,,19,10,52.11,-59,59,4.4,336.49,-25.63,4,5.2,3.3,-1.4,-1.7
NGC 6760,,19,11,12.01,1,1,49.7,36.11,-3.92,7.4,4.8,5.9,4.3,-0.5
NGC 6779,M 56,19,16,35.57,30,11,0.5,62.66,8.34,9.4,9.2,4.3,8.3,1.4
Terzan 7,,19,17,43.92,-34,39,27.8,3.39,-20.07,22.8,15.6,21.4,1.3,-7.8
Pal 10,,19,18,2.1,18,34,18,52.43,2.72,5.9,6.4,3.6,4.7,0.3
Arp 2,,19,28,44.11,-30,21,20.3,8.55,-20.79,28.6,21.4,26.4,4,-10.2
NGC 6809,M 55,19,39,59.71,-30,57,53.1,8.79,-23.27,5.4,3.9,4.9,0.8,-2.1
Terzan 8,,19,41,44.41,-33,59,58.1,5.76,-24.56,26.3,19.4,23.8,2.4,-10.9
Pal 11,,19,45,14.4,-8,0,26,31.81,-15.57,13.4,8.2,11,6.8,-3.6
NGC 6838,M 71,19,53,46.49,18,46,45.1,56.75,-4.56,4,6.7,2.2,3.4,-0.3
NGC 6864,M 75,20,6,4.69,-21,55,16.2,20.3,-25.75,20.9,14.7,17.6,6.5,-9.1
NGC 6934,,20,34,11.37,7,24,16.1,52.1,-18.89,15.6,12.8,9.1,11.7,-5.1
NGC 6981,M 72,20,53,27.7,-12,32,14.3,35.16,-32.68,17,12.9,11.7,8.3,-9.2
NGC 7006,,21,1,29.38,16,11,14.4,63.77,-19.41,41.2,38.5,17.2,34.8,-13.7
NGC 7078,M 15,21,29,58.33,12,10,1.2,65.01,-27.31,10.4,10.4,3.9,8.3,-4.8
NGC 7089,M 2,21,33,27.02,0,49,23.7,53.37,-35.77,11.5,10.4,5.6,7.5,-6.7
NGC 7099,M 30,21,40,22.12,-23,10,47.5,27.18,-46.84,8.1,7.1,4.9,2.5,-5.9
Pal 12,,21,46,38.84,-21,15,9.4,30.51,-47.68,19,15.8,11,6.5,-14.1
Pal 13,,23,6,44.44,12,46,19.2,87.1,-42.7,26,26.9,1,19.1,-17.6
NGC 7492,,23,8,26.63,-15,36,41.4,53.39,-63.48,26.3,25.3,7,9.4,-23.5
